t, y, hgm, particle40, particle1000, efk
76.99000000,-1.83090476,-2.66178658,-3.95108394,-2.68384955,2.97119455
77.99000000,0.18976820,-2.66738286,-3.89266197,-2.63276146,2.92768522
78.99000000,-3.06986185,-2.21427313,-3.32205795,-2.35956798,3.12180882
79.99000000,0.18673565,-2.18534113,-3.77184050,-2.18510208,3.06302158
80.99000000,-1.09454780,-2.40951553,-3.83302294,-2.43346540,3.09382917
81.99000000,-0.32978543,-2.51503390,-3.82408807,-2.29778048,3.07090607
82.99000000,-0.37710537,-2.63186372,-3.88776790,-2.48028076,3.05388488
83.99000000,0.70182356,-2.35226011,-3.59679449,-2.46280403,2.96815114
84.99000000,0.08538196,-2.40005824,-3.98317149,-2.45171134,2.93220242
85.99000000,0.85903897,-1.64465442,-3.72760630,-1.56009016,2.84506777
86.99000000,-0.22709903,-1.98498987,-4.45466337,-1.77694218,2.84644746
87.99000000,-0.75389977,-2.60168766,-3.60546715,-2.26348784,2.88746852
88.99000000,-1.57955183,-2.87484917,-2.92613431,-2.80918100,2.98281290
89.99000000,-0.57621396,-3.01660482,-2.48910894,-2.86656411,2.99087343
90.99000000,0.84262580,-2.67845371,-1.27037116,-2.70768050,2.90055241
91.99000000,-1.28027610,-2.95027367,-2.41368733,-3.15815848,2.97153298
92.99000000,-1.47392839,-2.93041856,-2.34296983,-2.79603765,3.04351458
93.99000000,-0.75252851,-2.97044809,-2.80600511,-2.71799034,3.05483139
94.99000000,0.48218903,-2.90996076,-2.99598614,-2.75713728,2.98344213
95.99000000,-0.17671324,-3.03219197,-2.55837576,-2.82248518,2.96387277
96.99000000,-1.21670411,-3.07459222,-2.62523592,-3.06637342,3.01927670
97.99000000,0.64641078,-2.92665523,-1.80496768,-3.02752540,2.94005000
98.99000000,-0.63751423,-3.12529860,-2.50162501,-3.24938858,2.95845195
